date	Abdominal obesity	isPartial	Abdominal pain	Acne	Actinic keratosis	Acute bronchitis	Adrenal crisis	Ageusia	Alcoholism	Allergic conjunctivitis	Allergy	Amblyopia	Amenorrhea	Amnesia	Anal fissure	Anaphylaxis	Anemia	Angina pectoris	Angioedema	Angular cheilitis	Anosmia	Anxiety	Aphasia	Aphonia	Apnea	Arthralgia	Arthritis	Ascites	Asperger syndrome	Asphyxia	Asthma	Astigmatism	Ataxia	Atheroma	Attention deficit hyperactivity disorder	Auditory hallucination	Autoimmune disease	Avoidant personality disorder	Back pain	Bacterial vaginosis	Balance disorder	Beau's lines	Bell's palsy	Biliary colic	Binge eating	Bleeding	Bleeding on probing	Blepharospasm	Bloating	Blood in stool	Blurred vision	Blushing	Boil	Bone fracture	Bone tumor	Bowel obstruction	Bradycardia	Braxton Hicks contractions	Breakthrough bleeding	Breast pain	Bronchitis	Bruise	Bruxism	Bunion	Burn	Burning Chest Pain	Burning mouth syndrome	Candidiasis	Canker sore	Cardiac arrest	Carpal tunnel syndrome	Cataplexy	Cataract	Chancre	Cheilitis	Chest pain	Chills	Chorea	Chronic pain	Cirrhosis	Cleft lip and cleft palate	Clouding of consciousness	Cluster headache	Colitis	Coma	Common cold	Compulsive behavior	Compulsive hoarding	Confusion	Congenital heart defect	Conjunctivitis	Constipation	Convulsion	Cough	Crackles	Cramp	Crepitus	Croup	Cyanosis	Dandruff	Delayed onset muscle soreness	Dementia	Dentin hypersensitivity	Depersonalization	Depression	Dermatitis	Desquamation	Developmental disability	Diabetes	Diabetic ketoacidosis	Diarrhoea	Dizziness	Dry eye syndrome	Dysautonomia	Dysgeusia	Dysmenorrhea	Dyspareunia	Dysphagia	Dysphoria	Dystonia	Dysuria	Ear pain	Eczema	Edema	Encephalitis	Encephalopathy	Epidermoid cyst	Epilepsy	Epiphora	Erectile dysfunction	Erythema	Erythema chronicum migrans	Esophagitis	Excessive daytime sleepiness	Eye pain	Eye strain	Facial nerve paralysis	Facial swelling	Fasciculation	Fatigue	Fatty liver disease	Fecal incontinence	Fever	Fibrillation	Fibrocystic breast changes	Fibromyalgia	Flatulence	Floater	Focal seizure	Folate deficiency	Food craving	Food intolerance	Frequent urination	Gastroesophageal reflux disease	Gastroparesis	Generalized anxiety disorder	Gingival recession	Gingivitis	Globus pharyngis	Goitre	Gout	Grandiosity	Granuloma	Guilt	Hair loss	Halitosis	Hay fever	Headache	Heart arrhythmia	Heart murmur	Heartburn	Hematochezia	Hematoma	Hematuria	Hemolysis	Hemoptysis	Hemorrhoids	Hepatic encephalopathy	Hepatitis	Hepatotoxicity	Hiccup	Hip pain	Hives	Hot flash	Hydrocephalus	Hypercalcaemia	Hypercapnia	Hypercholesterolemia	Hyperemesis gravidarum	Hyperglycemia	Hyperkalemia	Hyperlipidemia	Hypermobility	Hyperpigmentation	Hypersomnia	Hypertension	Hyperthermia	Hyperthyroidism	Hypertriglyceridemia	Hypertrophy	Hyperventilation	Hypocalcaemia	Hypochondriasis	Hypoglycemia	Hypogonadism	Hypokalemia	Hypomania	Hyponatremia	Hypotension	Hypothyroidism	Hypoxemia	Hypoxia	Impetigo	Implantation bleeding	Impulsivity	Indigestion	Infection	Inflammation	Inflammatory bowel disease	Ingrown hair	Insomnia	Insulin resistance	Intermenstrual bleeding	Intracranial pressure	Iron deficiency	Irregular menstruation	Itch	Jaundice	Kidney failure	Kidney stone	Knee Pain	Kyphosis	Lactose intolerance	Laryngitis	Leg cramps	Lesion	Leukorrhea	Lightheadedness	Low back pain	Low-grade fever	Loss of taste or smell	Major depressive disorder	Malabsorption	Male infertility	Manic Disorder	Melasma	Melena	Meningitis	Menorrhagia	Middle back pain	Migraine	Milium	Mitral insufficiency	Mood disorder	Mood swing	Morning sickness	Motion sickness	Mouth ulcer	Muscle atrophy	Muscle weakness	Myalgia	Mydriasis	Myocardial infarction	Myoclonus	Nasal congestion	Nasal polyp	Nausea	Neck mass	Neck pain	Neonatal jaundice	Nerve injury	Neuralgia	Neutropenia	Night sweats	Night terror	Nocturnal enuresis	Nodule	Nosebleed	Nystagmus	Obesity	Onychorrhexis	Oral candidiasis	Orthostatic hypotension	Osteopenia	Osteophyte	Osteoporosis	Otitis	Otitis externa	Otitis media	Pain	Palpitations	Panic attack	Papule	Paranoia	Paresthesia	Pelvic inflammatory disease	Pericarditis	Periodontal disease	Periorbital puffiness	Peripheral neuropathy	Perspiration	Petechia	Phlegm	Photodermatitis	Photophobia	Photopsia	Pleural effusion	Pleurisy	Pneumonia	Podalgia	Polycythemia	Polydipsia	Polyneuropathy	Polyuria	Poor posture	Post-nasal drip	Postural orthostatic tachycardia syndrome	Prediabetes	Proteinuria	Pruritus ani	Psychosis	Ptosis	Pulmonary edema	Pulmonary hypertension	Purpura	Pus	Pyelonephritis	Radiculopathy	Rash on skin	Rectal pain	Rectal prolapse	Red eye	Renal colic	Restless legs syndrome	Rheum	Rhinitis	Rhinorrhea	Rosacea	Round ligament pain	Rumination	Scar	Sciatica	Scoliosis	Seborrheic dermatitis	Self-harm	Sensitivity to sound	Sexual dysfunction	Shallow breathing	Sharp pain	Shivering	Shortness of breath	Shyness	Sinusitis	Skin condition	Skin tag	Skin ulcer	Sleep apnea	Sleep deprivation	Sleep disorder	Snoring	Sore throat	Spasticity	Splenomegaly	Sputum	Stomach rumble	Strabismus	Stretch marks	Stridor	Stroke	Stuttering	Subdural hematoma	Suicidal ideation	Swelling	Swollen feet	Swollen lymph nodes	Syncope	Tachycardia	Tachypnea	Telangiectasia	Tenderness	Testicular pain	Tiredness	Thrombocytopenia	Thyroid nodule	Tic	Tinnitus	Tonsillitis	Toothache	Tremor	Trichoptilosis	Tumor	Type 2 diabetes	Unconsciousness	Underweight	Upper respiratory tract infection	Urethritis	Urinary incontinence	Urinary tract infection	Urinary urgency	Uterine contraction	Vaginal bleeding	Vaginal discharge	Vaginitis	Varicose veins	Vasculitis	Ventricular fibrillation	Ventricular tachycardia	Vertigo	Viral pneumonia	Visual acuity	Vomiting	Wart	Water retention	Weakness	Weight gain	Wheeze	Xeroderma	Xerostomia	Yawn	hyperhidrosis	pancreatiti
2020-06-21	37	False	92	96	80	22	27	41	83	70	77	72	62	25	64	52	86	44	56	78	18	96	68	37	68	51	97	67	31	5	46	28	81	0	49	0	52	54	93	73	47	32	14	26	63	93	0	28	94	78	70	82	64	65	68	60	77	93	76	86	16	98	65	80	88	38	41	55	89	83	74	52	90	59	64	64	53	48	78	84	40	96	60	74	51	17	31	66	70	39	45	96	51	23	57	83	59	16	35	69	14	56	68	66	71	87	57	35	87	52	30	89	46	50	32	57	48	68	86	81	52	79	82	90	82	74	55	73	39	51	85	0	94	32	63	70	0	34	48	90	63	27	36	70	0	74	66	90	85	51	88	76	69	34	83	49	23	73	35	78	98	15	61	72	93	61	69	73	54	64	79	55	51	74	50	46	95	89	64	37	81	97	88	82	55	48	46	42	75	71	58	97	44	88	46	64	86	86	40	72	53	0	17	80	77	84	66	65	95	82	45	68	67	79	37	95	72	87	50	97	78	70	29	65	96	16	93	61	74	88	92	77	87	17	86	78	54	100	92	23	63	68	70	74	68	94	73	60	84	79	84	42	90	66	30	82	80	91	50	66	84	57	56	84	44	39	97	48	85	0	42	67	60	75	47	48	72	54	80	63	0	44	76	57	59	65	59	83	37	92	92	77	59	68	63	76	73	62	0	70	35	54	32	82	51	33	66	71	22	49	25	62	15	41	59	34	24	65	64	60	80	54	57	71	45	99	66	64	95	51	64	70	51	67	29	47	39	68	48	27	88	80	82	86	24	30	51	63	92	61	32	39	53	77	91	67	61	59	64	60	32	63	41	45	46	52	93	50	82	65	50	49	97	87	81	71	76	64	78	72	78	100	70	61	58	77	73	93	81	44	82	76	52	72	6	54	71	77	63	88	63	80	70	100	67	42	51	89	8	45	76	98	96	73	95	67	7	37	84	15	0
2020-06-28	13	False	90	99	78	24	46	35	68	45	79	41	81	28	71	42	79	39	67	97	18	98	51	39	65	37	89	59	52	4	42	29	76	49	50	34	54	36	92	68	37	66	15	74	65	96	0	58	91	81	74	84	79	62	59	66	76	100	63	89	16	95	67	82	90	33	67	83	89	81	72	84	89	42	62	63	54	66	68	72	54	99	64	75	46	22	55	55	90	20	46	99	53	25	67	86	90	21	36	74	14	56	23	79	70	83	10	36	89	61	49	90	47	72	62	63	49	67	100	63	45	86	83	83	81	60	47	62	50	47	69	50	86	66	73	59	0	77	33	95	62	44	40	72	18	60	53	88	62	48	67	90	82	18	74	46	0	73	50	0	94	15	74	70	89	87	66	74	92	66	79	54	47	72	37	49	94	63	66	46	85	82	99	73	39	0	45	59	70	70	50	81	39	90	57	56	52	77	20	62	62	0	26	73	64	59	64	66	91	94	56	54	80	92	48	81	74	90	47	88	80	66	0	58	87	16	94	66	75	85	86	61	93	27	94	67	43	86	66	24	100	62	60	81	66	100	63	66	81	81	80	43	74	57	43	98	100	100	34	78	85	65	59	52	52	47	99	40	89	14	68	72	76	59	23	30	68	50	72	72	22	45	72	59	32	63	49	47	48	95	100	83	43	74	80	75	69	72	87	75	47	55	36	21	76	67	44	62	25	0	24	55	16	34	9	70	37	64	50	37	74	63	49	73	44	99	42	67	93	55	63	79	42	43	37	64	77	69	65	57	94	82	88	78	25	21	66	55	92	47	34	32	58	67	84	65	58	80	54	56	38	71	45	37	55	77	90	70	89	63	53	37	94	77	85	83	73	61	58	83	60	84	56	55	50	64	64	90	63	0	78	79	63	53	13	50	52	83	43	50	83	74	93	91	76	46	61	90	12	70	79	99	91	73	96	54	15	41	87	22	0
2020-07-05	13	False	100	96	72	11	37	21	77	54	82	49	92	31	61	46	78	54	74	64	17	97	75	19	68	62	96	76	32	5	49	100	75	16	40	34	54	40	99	71	12	66	14	40	74	94	0	44	94	76	51	71	64	64	75	62	69	76	84	86	17	100	66	77	90	64	38	75	93	83	57	70	89	37	81	64	58	36	68	82	47	0	61	73	53	21	87	27	86	30	50	93	26	26	36	87	74	17	51	68	14	56	0	65	69	91	19	62	92	57	55	92	53	44	22	81	66	80	86	71	71	91	83	82	80	73	47	71	100	54	83	0	78	44	83	46	21	81	66	94	76	61	40	64	0	75	81	91	56	56	52	84	78	23	84	63	46	74	100	60	96	27	67	61	94	74	50	74	46	64	86	37	47	64	47	33	98	72	66	23	87	92	91	60	38	49	42	54	67	62	47	92	54	83	57	63	56	81	31	69	49	0	35	79	60	71	91	77	79	93	57	62	75	100	38	86	78	86	86	98	81	88	0	40	97	16	100	56	73	94	87	71	87	20	94	79	21	94	71	40	53	43	43	43	70	98	88	63	62	77	83	29	18	62	55	81	73	63	44	69	95	53	47	83	52	53	100	58	86	100	70	71	61	70	30	20	70	69	71	64	0	45	67	72	60	69	64	77	47	94	93	79	64	79	81	98	64	70	87	76	44	44	41	42	59	17	58	56	30	50	24	52	16	40	87	35	56	73	59	12	81	53	56	76	44	97	50	77	82	72	60	78	47	77	66	72	33	70	90	66	100	97	72	61	0	31	70	79	95	60	33	54	60	64	91	54	68	63	59	49	41	65	34	36	47	71	100	62	100	66	61	53	98	73	91	71	77	63	49	77	100	88	75	63	58	77	71	91	69	0	89	83	27	80	20	50	58	87	79	40	83	75	87	90	81	66	63	84	14	83	81	100	86	86	93	44	29	51	87	18	0
2020-07-12	51	False	91	99	48	11	19	58	70	27	79	42	77	29	82	53	77	21	50	75	23	96	73	58	71	50	92	63	31	4	52	53	77	33	41	0	55	56	97	79	12	16	17	82	62	92	0	14	90	77	70	90	63	55	59	80	77	78	76	85	19	85	63	77	81	36	38	62	92	69	64	58	75	33	88	67	58	70	70	82	69	0	62	85	46	29	56	28	83	10	53	91	93	27	50	89	53	18	80	70	0	53	0	61	69	82	39	54	92	72	34	91	20	53	22	68	44	80	76	59	70	97	77	80	86	68	61	70	0	50	90	50	91	22	76	78	65	66	33	100	81	66	39	66	18	69	60	83	68	16	38	100	73	21	96	56	23	83	43	0	90	6	75	61	85	61	58	80	92	80	84	48	52	56	71	42	92	65	70	23	73	91	100	64	49	0	37	62	87	69	60	78	54	75	40	62	48	100	46	77	59	0	26	75	44	84	100	62	84	100	68	63	79	87	57	89	77	88	62	85	86	72	0	50	82	33	93	53	91	87	88	60	88	19	96	80	39	82	89	32	48	51	75	55	83	93	92	64	87	70	89	44	37	57	55	88	87	81	70	69	100	60	48	69	53	33	99	54	88	0	59	82	74	66	35	40	64	70	79	72	0	37	57	63	71	60	66	74	41	94	89	84	81	79	79	78	86	95	0	78	33	22	38	21	70	17	62	45	30	0	21	68	22	45	52	0	62	65	63	50	78	52	64	76	44	98	75	68	100	62	79	77	47	79	67	72	66	69	84	73	95	92	80	75	76	21	67	69	89	57	34	45	63	77	89	62	70	75	69	55	39	74	61	22	16	52	90	63	93	55	70	70	92	71	82	85	81	37	79	95	73	94	74	72	49	67	73	88	72	0	87	82	81	78	20	56	77	77	29	20	71	74	81	89	84	67	82	93	17	37	82	93	64	100	92	55	22	55	83	16	0
2020-07-19	52	False	89	100	85	26	47	14	76	63	77	82	86	28	75	61	78	45	71	75	28	96	78	29	80	82	89	73	36	6	49	42	75	0	51	34	46	61	100	78	49	66	8	48	71	98	0	7	91	67	81	89	68	59	67	59	72	66	80	87	20	86	63	79	83	36	73	77	89	73	61	34	93	53	78	63	56	60	83	81	83	0	72	79	59	27	73	28	93	20	63	92	47	25	53	100	59	25	48	71	29	61	24	80	77	90	20	41	90	59	57	92	55	61	45	89	62	86	90	68	63	95	76	80	78	77	47	76	51	47	94	0	92	44	88	60	22	43	25	99	60	22	37	81	37	73	76	93	26	86	91	77	74	12	87	58	23	81	14	41	89	18	67	65	96	71	72	81	80	81	87	51	50	70	86	52	81	80	63	71	88	92	93	66	58	0	38	65	88	80	70	80	63	87	69	66	52	80	67	75	63	0	18	83	73	73	81	78	80	90	64	50	74	90	48	85	74	91	45	98	93	73	30	100	77	0	94	55	81	99	86	66	82	21	86	92	39	85	85	48	36	58	79	100	91	87	71	77	66	94	91	44	0	64	49	92	79	80	70	70	93	66	59	59	53	33	99	63	91	15	46	75	64	68	37	100	70	52	61	68	68	28	74	77	64	76	80	91	50	95	86	93	71	80	87	71	78	73	0	86	39	33	38	65	47	34	51	58	29	0	22	59	17	37	61	0	31	83	100	100	87	67	53	63	42	97	73	73	89	65	56	81	58	48	52	75	33	59	66	78	91	97	70	59	13	42	94	67	93	52	32	50	57	100	90	44	77	73	76	56	39	61	31	23	63	59	82	43	93	61	54	68	100	73	78	82	79	40	71	77	94	83	72	69	46	78	73	84	61	0	81	87	18	50	27	56	88	93	22	71	52	92	93	83	80	64	62	87	19	58	81	92	80	76	95	49	22	41	75	21	0
2020-07-26	38	False	92	94	82	28	66	29	87	50	73	75	81	26	75	46	80	64	79	42	19	92	68	49	73	31	91	76	61	3	41	33	64	0	30	70	44	64	94	67	74	34	18	27	58	97	0	22	86	72	71	80	64	50	60	68	67	67	46	91	17	87	85	75	84	54	60	84	84	78	56	37	93	38	56	62	50	93	70	81	28	0	34	83	60	18	48	0	82	40	52	93	67	24	79	82	59	18	44	71	73	56	0	50	74	81	49	50	89	76	31	88	27	56	48	61	58	74	81	65	80	91	73	79	66	73	48	76	41	51	77	0	75	11	85	86	43	55	50	94	70	67	34	71	18	73	58	94	57	45	63	47	65	51	86	58	47	75	58	81	99	21	74	59	86	38	63	75	91	79	86	74	46	71	73	54	82	73	69	31	76	90	90	88	69	50	27	46	61	80	54	79	43	96	53	56	46	87	83	64	66	0	44	85	65	73	88	74	70	91	42	49	78	88	63	79	74	90	67	86	92	83	30	59	82	33	89	53	69	91	89	91	78	24	100	77	34	72	81	41	42	62	84	44	64	57	76	69	78	96	90	15	37	54	31	83	92	80	20	78	61	78	100	53	51	54	95	64	86	14	36	80	63	69	36	51	76	57	75	64	89	73	70	66	65	65	66	50	54	94	94	78	83	74	80	62	77	63	0	71	84	34	39	64	40	17	58	55	24	0	24	65	17	51	53	0	25	86	57	50	81	71	41	67	44	96	62	55	86	53	99	66	53	70	52	68	52	70	66	55	92	82	78	70	38	31	71	55	96	75	28	32	59	74	99	80	66	66	66	50	34	80	61	23	56	85	86	43	88	49	65	69	94	62	75	69	83	39	53	82	76	89	100	79	59	71	67	78	66	90	89	92	64	75	20	67	57	83	88	72	66	88	87	87	78	37	48	95	13	67	80	98	76	83	92	63	0	49	85	16	0
2020-08-02	0	False	89	97	59	20	0	35	90	23	78	41	76	26	69	51	80	73	77	73	13	95	70	39	73	93	91	76	68	4	36	42	73	50	50	35	47	87	92	68	37	100	16	67	69	92	0	44	82	70	74	78	63	51	55	68	90	30	54	82	16	96	62	78	83	39	42	84	84	77	71	50	89	23	77	60	52	49	70	80	47	100	49	71	53	19	24	0	83	10	56	95	26	25	59	91	51	18	39	69	29	55	0	57	73	80	58	49	88	56	40	90	100	82	37	69	63	73	68	68	67	86	73	73	70	74	62	73	40	48	78	51	89	33	76	81	0	46	66	96	51	84	32	80	18	69	75	92	31	44	87	98	90	44	98	60	47	73	36	40	90	18	71	67	94	38	62	74	98	82	83	85	45	68	60	37	74	69	66	38	88	95	91	77	55	100	25	27	91	71	65	67	39	82	52	56	67	90	31	68	53	0	9	75	87	70	87	92	84	84	53	45	81	93	24	94	75	85	49	89	86	77	29	44	76	49	87	100	87	96	88	61	92	22	85	79	55	77	80	16	12	57	57	43	56	72	71	70	69	81	81	29	18	67	56	88	78	81	44	100	52	47	49	80	59	13	97	95	90	43	58	81	53	65	39	60	65	70	62	65	22	27	76	66	47	58	65	100	62	95	92	84	57	76	71	56	76	79	0	67	53	11	37	21	76	67	51	38	26	0	22	52	12	36	35	0	38	81	74	73	78	51	40	73	44	91	68	65	95	87	95	78	62	99	37	66	63	64	79	74	88	83	80	81	12	20	79	27	92	58	28	78	54	54	100	58	68	55	58	54	34	90	45	24	16	51	84	54	80	70	82	43	93	53	73	86	86	56	68	74	64	96	74	78	54	74	61	72	61	0	90	86	36	75	33	58	62	97	58	20	71	90	75	87	78	73	76	86	13	40	78	94	73	75	89	76	15	62	89	17	0
2020-08-09	13	False	89	99	82	18	19	43	65	31	75	58	70	27	79	55	78	69	65	69	10	94	59	29	67	62	93	81	43	5	40	42	79	49	30	68	46	52	92	77	24	33	13	47	56	93	0	22	86	81	67	74	65	51	52	72	70	72	69	82	17	91	86	69	79	30	54	66	82	79	67	37	87	42	68	56	49	46	74	68	27	0	52	70	53	16	24	27	68	50	51	86	53	23	69	93	66	19	54	75	72	68	23	75	71	83	19	27	84	94	61	81	67	77	40	81	75	79	78	72	64	81	77	75	57	79	47	71	60	46	71	100	82	33	79	68	43	46	49	89	64	28	31	69	18	80	68	87	36	52	47	69	72	38	95	49	46	73	28	20	87	12	81	64	97	65	56	67	87	77	80	76	43	66	35	47	85	74	72	15	95	90	88	76	68	0	25	38	77	67	70	77	39	80	55	59	84	86	41	68	60	0	52	71	54	67	60	79	77	82	41	38	86	92	43	83	71	85	52	89	89	58	0	80	79	49	89	66	79	96	88	46	86	24	75	85	30	76	77	24	23	49	54	60	59	53	85	76	62	89	91	43	37	52	73	90	82	81	54	62	48	100	57	89	57	66	93	89	86	43	58	79	46	57	41	20	72	66	55	60	0	27	76	73	60	68	53	49	55	91	93	80	64	67	76	51	67	70	87	71	50	44	35	42	30	17	63	36	22	0	25	41	14	38	78	0	44	92	56	37	85	63	55	71	52	87	90	76	88	69	55	71	52	78	51	64	37	60	69	77	91	85	80	72	62	31	35	58	84	54	27	72	53	64	83	50	66	62	67	56	32	78	34	23	31	71	79	47	81	53	53	67	92	59	68	81	78	63	52	83	82	92	66	76	51	73	74	84	81	0	85	81	45	55	7	55	64	77	50	20	71	87	91	87	75	53	59	87	13	63	71	84	92	73	90	44	44	38	89	14	0
2020-08-16	100	False	78	92	85	8	37	35	74	44	78	57	67	25	79	48	73	62	52	65	11	94	64	19	71	49	91	69	54	4	39	37	65	16	40	67	45	39	89	78	72	16	14	100	61	90	96	36	83	78	78	73	60	62	56	65	79	90	59	75	17	86	71	72	75	25	71	64	98	82	88	43	91	37	65	59	50	55	75	85	60	0	100	77	57	17	31	27	73	29	47	95	26	23	65	77	60	25	56	66	28	58	0	69	82	86	48	40	83	57	43	85	40	52	65	82	51	83	75	54	55	84	68	78	72	80	51	64	30	49	80	98	90	65	76	74	64	46	89	82	58	43	31	69	72	72	56	67	91	40	79	92	87	32	94	52	69	63	49	40	99	6	67	56	90	47	65	73	90	67	79	64	54	70	69	50	82	59	62	38	72	85	89	63	55	49	16	45	73	67	71	76	32	69	36	55	74	78	100	79	54	0	0	67	59	75	52	84	83	81	47	44	78	73	23	81	69	85	73	100	93	77	29	48	81	33	83	50	85	97	87	67	78	22	85	76	46	67	87	31	23	55	76	70	44	70	80	71	89	75	82	43	18	56	66	92	67	86	46	70	50	70	44	71	52	33	88	66	79	28	67	72	68	59	32	20	83	67	64	63	65	63	88	76	84	68	64	54	50	88	77	76	80	71	79	46	74	73	0	76	29	43	36	42	49	100	64	37	22	0	21	54	13	42	17	70	37	86	67	12	72	69	44	77	42	94	74	76	83	63	63	79	51	72	94	63	36	60	62	69	86	91	77	73	74	20	48	64	85	61	24	75	49	62	89	57	68	61	69	57	29	70	52	26	62	72	73	21	82	100	41	74	87	69	72	89	82	63	66	71	79	83	71	69	52	74	67	79	66	0	80	79	35	59	13	42	71	68	57	30	72	84	72	72	91	66	51	86	7	46	74	87	60	69	85	48	51	61	90	15	0
2020-08-23	37	False	83	88	58	18	36	14	78	30	72	45	69	25	57	47	76	49	60	50	14	94	69	37	66	53	81	81	70	5	38	35	69	31	48	98	37	61	88	88	23	0	13	32	52	92	0	41	80	69	65	89	59	52	80	77	78	67	55	79	17	81	57	82	76	34	61	72	69	71	76	55	100	32	84	55	45	89	61	84	26	0	65	100	100	17	53	0	78	38	54	93	32	22	85	83	86	21	47	62	14	53	0	61	74	78	56	60	79	44	47	82	64	64	46	60	58	69	70	57	68	70	73	72	53	73	54	69	58	46	64	0	84	42	66	80	41	74	71	84	54	47	31	68	18	68	69	66	64	42	54	47	80	31	75	63	45	68	48	58	89	26	78	62	95	50	55	63	69	60	76	46	44	67	62	45	76	49	70	52	80	82	77	46	64	47	22	48	69	75	57	72	80	85	50	59	100	84	58	66	51	0	33	72	54	78	51	83	84	82	41	51	73	80	27	78	67	84	57	71	100	82	0	64	74	47	79	48	72	89	87	75	76	25	83	86	70	75	73	8	40	60	71	89	40	59	94	61	75	86	76	28	53	59	76	82	77	63	40	64	48	45	38	72	47	32	84	47	82	69	63	76	68	55	28	76	81	65	71	55	0	52	84	75	64	61	67	55	51	88	76	80	54	57	76	50	80	48	0	88	34	42	30	20	83	16	53	38	21	0	23	67	14	39	58	0	48	77	66	59	71	71	45	70	45	91	70	69	77	100	47	72	55	54	35	65	42	57	62	67	86	82	79	64	24	59	59	43	80	67	23	77	48	54	82	73	65	66	60	52	28	52	25	25	45	70	70	61	81	79	67	67	85	57	68	90	76	66	82	63	75	78	76	67	56	66	65	70	71	0	73	74	26	48	6	66	67	88	62	48	63	70	89	68	72	67	50	78	9	22	68	80	70	66	81	58	49	78	97	16	0
2020-08-30	24	False	88	88	61	20	18	20	74	29	75	42	65	26	84	49	78	59	63	52	10	91	74	36	63	65	84	81	63	6	38	43	80	93	76	64	45	53	88	78	34	46	17	90	59	90	0	48	78	100	72	97	54	67	60	66	89	70	66	79	16	88	72	61	72	39	72	72	84	81	61	45	80	22	89	58	51	66	85	79	58	93	64	78	57	19	60	0	82	47	52	89	31	23	70	77	87	21	52	64	41	100	22	81	71	79	28	72	86	66	32	83	44	53	56	60	68	83	70	65	59	73	65	79	70	75	35	76	86	45	82	0	83	31	71	100	0	44	23	83	76	41	29	74	69	64	49	61	64	34	85	63	82	22	81	56	44	68	33	19	89	14	78	67	87	70	59	62	73	81	74	84	45	59	45	69	95	72	72	37	60	87	80	46	60	46	20	47	84	82	93	75	39	51	37	69	73	80	57	81	44	42	25	69	74	100	94	77	80	81	65	57	70	85	53	83	70	92	82	76	94	65	56	55	71	47	76	52	82	99	79	83	83	19	81	83	77	73	80	7	17	54	95	52	59	54	82	63	65	89	87	27	88	59	86	81	75	75	49	63	42	56	61	78	47	62	85	63	79	14	67	81	78	61	32	37	74	60	65	72	0	26	95	82	53	69	62	54	45	87	96	75	73	65	85	75	74	48	0	69	76	83	31	40	69	16	79	32	22	0	30	83	16	58	57	0	53	81	65	23	77	58	39	75	49	83	68	69	66	89	63	77	44	62	49	68	48	54	82	73	78	87	76	74	36	39	100	49	81	56	23	55	50	65	81	58	63	66	75	57	29	51	14	24	22	65	73	58	89	61	83	61	82	52	70	91	83	65	58	64	61	70	94	84	63	72	65	80	72	42	83	78	51	66	19	50	62	78	54	67	70	74	88	68	65	63	56	85	15	70	72	78	65	70	85	42	49	45	70	11	0
2020-09-06	48	False	87	93	59	12	44	54	74	39	73	87	79	31	74	48	71	55	68	67	17	100	71	37	65	62	90	84	45	4	42	34	84	79	29	0	43	83	89	80	23	47	14	51	55	95	0	35	75	85	54	97	56	64	56	79	86	86	66	68	16	87	70	74	81	48	52	73	76	76	60	67	83	63	73	52	46	63	82	87	71	0	67	74	54	20	68	79	77	57	58	92	75	23	56	81	76	23	75	70	14	60	22	100	81	74	55	47	80	75	35	72	25	58	24	52	47	84	85	59	58	75	73	73	68	64	9	73	38	52	98	96	72	42	68	76	0	29	71	92	63	69	28	61	69	72	61	72	73	27	32	61	80	20	67	62	33	87	34	38	84	14	57	68	89	49	61	64	63	70	73	54	43	86	94	47	93	63	65	22	80	86	90	63	70	0	25	56	57	56	79	68	34	70	45	65	71	79	54	79	62	0	17	72	79	100	61	100	82	81	66	50	66	78	32	83	70	87	70	79	91	75	56	64	62	16	71	54	67	87	79	98	82	20	74	79	61	63	74	23	22	53	57	67	74	50	81	61	65	79	84	14	53	52	35	91	68	68	56	63	43	84	62	96	49	51	85	86	84	55	77	71	57	64	43	10	72	66	73	74	21	52	50	71	72	80	60	74	47	86	85	89	65	66	73	60	72	69	0	68	71	64	30	40	85	32	62	34	24	0	25	55	15	50	75	34	48	64	51	47	75	74	54	62	44	87	66	64	74	73	58	72	70	86	70	71	42	56	88	59	80	78	83	82	0	39	42	39	80	74	23	61	44	79	88	48	63	76	87	48	27	39	43	26	23	75	73	45	77	64	67	100	83	46	75	75	80	100	68	87	66	86	74	49	72	77	61	76	69	86	82	65	35	64	0	38	71	91	28	68	67	72	83	72	60	38	62	96	14	35	70	79	68	67	84	48	63	39	80	18	0
